player_name,team_abbreviation,age,player_height,player_weight,college,draft_year,season
yogiferrell,DAL,24,182.88,81.64656,Indiana,Undrafted,2016
zazapachulia,GSW,33,210.82,124.7378,None,2003,2016
zachrandolph,MEM,35,205.74,117.93392,Michigan State,2001,2016
zachlavine,MIN,22,195.58,83.91452,UCLA,2014,2016
tysonchandler,PHX,34,215.9,108.86208,None,2001,2016
tyrekeevans,SAC,27,198.12,99.79024,Memphis,2009,2016
williereed,MIA,27,210.82,111.13004,Saint Louis,Undrafted,2016
markieffmorris,WAS,27,208.28,111.13004,Kansas,2011,2016
mariohezonja,ORL,22,203.2,98.88305600000001,None,2015,2016
marcusthornton,WAS,30,193.04,92.98635999999999,Louisiana State,2009,2016
marcussmart,BOS,23,193.04,99.79024,Oklahoma State,2014,2016
marcusmorris,DET,27,205.74,106.59411999999999,Kansas,2011,2016
marcusgeorges-hunt,ORL,23,198.12,99.79024,Georgia Tech,Undrafted,2016
marcobelinelli,CHA,31,195.58,95.25431999999999,None,2007,2016
marcingortat,WAS,33,210.82,108.86208,None,2005,2016
marcelohuertas,LAL,34,190.5,90.7184,None,Undrafted,2016
marcgasol,MEM,32,215.9,115.66596000000001,None,2007,2016
manuginobili,SAS,39,198.12,92.98635999999999,None,1999,2016
mannyharris,DAL,27,195.58,83.91452,Michigan,Undrafted,2016
marquesechriss,PHX,19,208.28,105.68693600000002,Washington,2016,2016
malikbeasley,DEN,20,195.58,88.904032,Florida State,2016,2016
malcolmbrogdon,MIL,24,195.58,97.52228000000001,Virginia,2016,2016
malachirichardson,SAC,21,198.12,92.98635999999999,Syracuse,2016,2016
luoldeng,LAL,32,205.74,99.79024,Duke,2004,2016
lukebabbitt,MIA,28,205.74,102.0582,Nevada,2010,2016
luisscola,BKN,37,205.74,109.31567199999999,None,2002,2016
lucasnogueira,TOR,24,213.36,99.79024,None,2013,2016
lucmbahamoute,LAC,30,203.2,104.32616,UCLA,2008,2016
louwilliams,HOU,30,185.42,79.3786,None,2005,2016
leandrobarbosa,PHX,34,190.5,87.996848,None,2003,2016
lebronjames,CLE,32,203.2,113.398,None,2003,2016
lavoyallen,IND,28,205.74,117.93392,Temple,2011,2016
larrysanders,CLE,28,210.82,104.32616,Virginia Commonwealth,2010,2016
malcolmdelaney,ATL,28,190.5,86.18248,Virginia Tech,Undrafted,2016
larrynancejr.,LAL,24,205.74,104.32616,Wyoming,2015,2016
marreesespeights,LAC,29,208.28,115.66596000000001,Florida,2008,2016
marvinwilliams,CHA,31,205.74,107.501304,North Carolina,2005,2016
nerlensnoel,DAL,23,210.82,103.418976,Kentucky,2013,2016
nene,HOU,34,210.82,113.398,None,2002,2016
