player_name,player_team,player_net_rating,player_eff_fg_pct,player_true_shooting_pct,player_usage_rate,player_impact_estimate
russellwestbrook,OKC,3.3,47.6,55.4,40.8,23.0
bobanmarjanovic,DET,1.9,54.5,60.6,24.8,19.6
demetriusjackson,BOS,6.3,87.5,75.3,17.2,19.4
anthonydavis,NOP,1.7,51.8,58.0,32.6,19.2
jamesharden,HOU,6.3,52.5,61.3,34.1,19.0
kevindurant,GSW,16.0,59.4,65.1,27.6,18.6
lebronjames,CLE,7.7,59.4,61.9,29.7,18.3
chrispaul,LAC,14.9,55.5,61.4,24.3,18.2
demarcuscousins,NOP,-2.2,49.8,56.2,36.4,17.8
giannisantetokounmpo,MIL,1.5,54.1,59.9,28.3,17.6
kawhileonard,SAS,8.6,54.1,61.0,31.2,17.4
joelembiid,PHI,3.2,50.8,58.4,36.3,17.4
karl-anthonytowns,MIN,-0.9,57.6,61.8,27.4,17.1
nikolajokic,DEN,5.1,60.5,64.0,23.4,16.7
jimmybutler,CHI,3.0,49.2,58.6,26.5,16.4
hassanwhiteside,MIA,1.3,55.7,57.9,22.6,16.3
rudygobert,UTA,8.1,66.1,68.1,16.7,16.1
isaiahthomas,BOS,5.0,54.6,62.5,33.7,16.1
mikeconley,MEM,3.1,54.5,60.4,26.3,16.0
damianlillard,POR,1.2,51.6,58.6,30.9,15.9
gordonhayward,UTA,7.1,53.6,59.5,27.6,15.8
demarderozan,TOR,3.3,47.7,55.2,34.2,15.5
joelbolomboy,UTA,11.3,59.4,59.0,18.0,15.4
eneskanter,OKC,-0.1,54.9,59.9,27.5,15.4
johnwall,WAS,3.9,48.2,54.1,30.2,15.3
blakegriffin,LAC,10.6,51.3,56.9,27.8,15.2
zachrandolph,MEM,-1.1,46.0,49.0,28.5,15.2
dwighthoward,ATL,-2.0,63.3,62.7,19.1,15.1
stephencurry,GSW,17.2,58.0,62.4,29.2,15.1
marcgasol,MEM,1.4,50.3,55.4,26.7,15.1
deandrejordan,LAC,9.7,71.4,67.3,15.3,15.0
kevinlove,CLE,7.2,51.0,57.3,25.5,14.8
kylelowry,TOR,8.2,56.9,62.3,24.9,14.7
paugasol,SAS,6.8,54.8,57.8,21.6,14.3
nikolavucevic,ORL,-3.6,48.0,49.8,24.3,14.2
ericbledsoe,PHX,-4.1,48.5,56.3,28.0,14.1
gregmonroe,MIL,3.7,53.3,57.2,24.2,13.9
edytavares,CLE,15.2,80.0,63.3,13.7,13.8
joshhuestis,OKC,6.4,63.6,61.2,14.6,13.7
kembawalker,CHA,3.6,52.7,56.9,29.1,13.7
andredrummond,DET,-6.3,53.1,51.8,22.4,13.6
jonasvalanciunas,TOR,2.5,55.8,60.1,19.5,13.6
paulgeorge,IND,2.9,53.4,58.7,29.0,13.6
kyrieirving,CLE,5.1,53.5,58.0,30.2,13.5
j.j.barea,DAL,1.8,49.1,52.1,26.1,13.4
louwilliams,HOU,-0.4,51.1,59.3,28.3,13.3
aljefferson,IND,-5.8,49.9,52.6,26.0,13.3
willyhernangomez,NYK,-2.8,53.3,56.4,20.2,13.3
kyleo'quinn,NYK,-6.8,52.3,55.2,18.6,13.2
jeremylin,BKN,-2.9,51.0,56.6,25.9,13.1
jeffteague,IND,1.2,49.2,57.4,22.1,13.1
