player_name,player_position,player_team_abbreviation,player_pts,player_trb,player_ast,player_stl,player_blk,player_fg_pct,player_threept_pct,player_ft_pct
russellwestbrook,PG,OKC,31.6,10.7,10.4,1.6,0.4,0.425,0.34299999999999997,0.845
jamesharden,PG,HOU,29.1,8.1,11.2,1.5,0.5,0.44,0.34700000000000003,0.847
isaiahthomas,PG,BOS,28.9,2.7,5.9,0.9,0.2,0.46299999999999997,0.379,0.909
anthonydavis,C,NO,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802
demarderozan,SG,TOR,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.8420000000000001
demarcuscousins,C,NO/SAC,27.0,11.0,4.6,1.4,1.3,0.452,0.361,0.772
damianlillard,PG,POR,27.0,4.9,5.9,0.9,0.3,0.444,0.37,0.895
lebronjames,SF,CLE,26.4,8.6,8.7,1.2,0.6,0.5479999999999999,0.363,0.674
kawhileonard,SF,SA,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88
stephencurry,PG,GS,25.3,4.5,6.6,1.8,0.2,0.46799999999999997,0.41100000000000003,0.898
kyrieirving,PG,CLE,25.2,3.2,5.8,1.2,0.3,0.473,0.401,0.905
kevindurant,SF,GS,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875
karlanthonytowns,C,MIN,25.1,12.3,2.7,0.7,1.3,0.542,0.36700000000000005,0.8320000000000001
jimmybutler,SF,CHI,23.9,6.2,5.5,1.9,0.4,0.455,0.36700000000000005,0.865
paulgeorge,SF,IND,23.7,6.6,3.3,1.6,0.4,0.461,0.39299999999999996,0.898
andrewwiggins,SF,MIN,23.6,4.0,2.3,1.0,0.4,0.452,0.35600000000000004,0.76
kembawalker,PG,CHA,23.2,3.9,5.5,1.1,0.3,0.444,0.39899999999999997,0.847
bradleybeal,SG,WSH,23.1,3.1,3.5,1.1,0.3,0.48200000000000004,0.40399999999999997,0.825
johnwall,PG,WSH,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.8009999999999999
giannisantetokounmpo,SF,MIL,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77
carmeloanthony,SF,NY,22.4,5.9,2.9,0.8,0.5,0.433,0.359,0.833
kylelowry,PG,TOR,22.4,4.8,7.0,1.5,0.3,0.46399999999999997,0.41200000000000003,0.8190000000000001
klaythompson,SG,GS,22.3,3.7,2.1,0.8,0.5,0.46799999999999997,0.414,0.853
devinbooker,SG,PHX,22.1,3.2,3.4,0.9,0.3,0.423,0.363,0.8320000000000001
gordonhayward,SF,UTAH,21.9,5.4,3.5,1.0,0.3,0.47100000000000003,0.39799999999999996,0.8440000000000001
blakegriffin,PF,LAC,21.6,8.1,4.9,0.9,0.4,0.493,0.336,0.76
ericbledsoe,PG,PHX,21.1,4.8,6.3,1.4,0.5,0.434,0.335,0.847
