player_name,player_games_played,player_off_plus_min,player_def_plus_min,player_real_plus_min,player_wins
lebronjames,74,6.49,1.93,8.42,20.43
stephencurry,79,7.27,0.14,7.41,18.8
jimmybutler,76,4.82,1.8,6.62,17.35
russellwestbrook,81,6.74,-0.47,6.27,17.34
draymondgreen,76,1.55,5.59,7.14,16.84
rudygobert,81,0.35,6.02,6.37,15.55
jamesharden,81,6.38,-1.57,4.81,15.54
kawhileonard,74,5.83,1.25,7.08,15.53
chrispaul,61,5.16,2.76,7.92,13.48
nikolajokic,73,4.44,2.29,6.73,13.18
giannisantetokounmpo,80,2.35,1.86,4.21,13.0
anthonydavis,75,0.45,3.9,4.35,12.81
kylelowry,60,4.7,1.18,5.88,12.67
deandrejordan,81,1.11,3.44,4.55,12.59
kevindurant,62,4.41,1.33,5.74,12.24
paulmillsap,69,1.23,3.35,4.58,11.51
demarcuscousins,72,3.56,0.64,4.2,11.26
ottoporterjr.,80,3.12,0.44,3.56,11.21
damianlillard,75,4.63,-1.49,3.14,10.72
jaecrowder,72,2.2,1.69,3.89,10.52
mikeconley,69,4.67,-0.2,4.47,10.5
karl-anthonytowns,82,3.54,-1.41,2.13,10.0
kembawalker,79,3.93,-1.25,2.68,9.95
johnwall,78,3.52,-1.26,2.26,9.9
kevinlove,60,2.77,2.26,5.03,9.76
gorguidieng,82,-0.8,3.52,2.72,9.73
paulgeorge,75,2.67,-0.09,2.58,9.72
klaythompson,78,2.78,-0.45,2.33,9.53
gordonhayward,73,3.14,-0.08,3.06,9.45
mylesturner,81,0.09,2.57,2.66,9.31
trevorariza,80,0.86,1.07,1.93,9.29
bradleybeal,77,3.29,-1.04,2.25,9.26
robertcovington,67,-0.77,4.32,3.55,9.23
blakegriffin,61,3.02,0.76,3.78,9.2
andreiguodala,76,2.01,1.52,3.53,8.72
rickyrubio,75,1.73,0.76,2.49,8.72
marcgasol,74,1.86,0.72,2.58,8.69
danilogallinari,63,2.67,0.21,2.88,8.39
kyrieirving,72,4.35,-2.3,2.05,8.28
isaiahthomas,76,5.72,-3.89,1.83,8.19
hassanwhiteside,77,-0.69,2.72,2.03,8.15
jeffteague,82,1.86,-0.22,1.64,8.08
markieffmorris,76,-0.55,2.41,1.86,7.61
brooklopez,75,1.4,0.55,1.95,7.59
patrickbeverley,67,1.11,1.37,2.48,7.56
cjmccollum,80,3.01,-1.87,1.14,7.52
jamesjohnson,76,0.42,1.94,2.36,7.31
amirjohnson,80,0.22,3.58,3.8,7.02
stevenadams,80,-0.3,1.68,1.38,7.01
codyzeller,62,-0.07,3.42,3.35,6.97
alhorford,68,0.76,1.06,1.82,6.93
jrueholiday,67,0.64,1.18,1.82,6.89
victoroladipo,67,0.1,1.56,1.66,6.88
ericbledsoe,66,2.33,-0.64,1.69,6.85
ersanilyasova,82,0.98,0.74,1.72,6.83
louwilliams,81,3.65,-1.68,1.97,6.73
nicolasbatum,77,1.3,-0.35,0.95,6.73
andreroberson,79,-1.4,2.64,1.24,6.73
joeingles,82,2.29,0.26,2.55,6.68
tobiasharris,82,1.19,-0.25,0.94,6.55
kristapsporzingis,66,-0.31,1.9,1.59,6.54
ryananderson,72,1.63,-0.12,1.51,6.46
ericgordon,75,1.51,-0.48,1.03,6.36
gorandragic,73,2.54,-1.62,0.92,6.3
georgehill,49,2.64,1.11,3.75,6.28
pjtucker,81,-0.69,1.78,1.09,5.98
marcussmart,79,0.26,0.49,0.75,5.98
marcusmorris,79,-0.11,0.63,0.52,5.85
lamarcusaldridge,72,-0.09,1.05,0.96,5.79
sergeibaka,79,-0.51,1.08,0.57,5.7
nikolamirotic,70,0.92,1.31,2.23,5.69
mauriceharkless,77,0.38,0.49,0.87,5.67
thaddeusyoung,74,-1.09,1.94,0.85,5.66
malcolmbrogdon,75,1.86,-0.42,1.44,5.66
dwighthoward,74,-1.7,2.6,0.9,5.65
masonplumlee,81,0.71,0.22,0.93,5.6
paugasol,64,0.86,1.49,2.35,5.48
demarderozan,74,2.21,-2.04,0.17,5.46
timhardawayjr.,79,1.9,-1.08,0.82,5.45
nikolavucevic,75,-1.38,2.15,0.77,5.44
patrickpatterson,65,1.05,1.26,2.31,5.4
solomonhill,80,-1.06,1.49,0.43,5.4
elfridpayton,82,1.12,-0.78,0.34,5.38
gregmonroe,81,1.08,0.47,1.55,5.34
aarongordon,80,1.25,-0.78,0.47,5.32
michaelkidd-gilchrist,81,-1.97,2.47,0.5,5.31
carmeloanthony,74,1.87,-1.75,0.12,5.26
zazapachulia,70,-0.31,3.23,2.92,5.12
wesleymatthews,73,0.09,0.11,0.2,5.06
marcingortat,82,-1.25,1.18,-0.07,5.01
pattymills,80,2.53,-1.26,1.27,4.86
al-farouqaminu,61,-1.86,3.13,1.27,4.86
dannygreen,68,-0.45,1.71,1.26,4.83
vincecarter,73,1.36,-0.06,1.3,4.81
harrisonbarnes,79,-0.44,0.11,-0.33,4.78
tylerjohnson,73,0.13,0.18,0.31,4.72
demarrecarroll,72,0.0,0.83,0.83,4.66
manuginobili,69,1.43,1.0,2.43,4.64
tristanthompson,78,-1.31,1.31,0.0,4.62
sethcurry,70,0.52,0.01,0.53,4.51
dewaynededmon,76,-1.63,3.94,2.31,4.49
ishsmith,81,0.28,0.25,0.53,4.48
lucmbahamoute,80,-1.56,2.32,0.76,4.43
frankkaminsky,75,0.96,-0.51,0.45,4.4
nenehilario,67,-1.31,3.62,2.31,4.39
marvinwilliams,76,-0.02,-0.07,-0.09,4.36
andredrummond,81,-1.8,1.55,-0.25,4.33
tajgibson,78,-1.76,2.02,0.26,4.29
garyharris,57,2.88,-2.37,0.51,4.29
jameernelson,75,0.45,-0.44,0.01,4.17
jonasvalanciunas,80,-0.74,0.75,0.01,4.06
terrenceross,78,1.36,-1.23,0.13,4.06
lucasnogueira,57,-0.61,3.34,2.73,4.03
kentaviouscaldwell-pope,76,0.71,-1.31,-0.6,4.02
davidlee,79,-0.38,1.5,1.12,3.98
jareddudley,64,-0.67,1.89,1.22,3.94
jamychalgreen,77,-0.41,0.39,-0.02,3.94
jjredick,78,1.73,-2.11,-0.38,3.86
cjmiles,76,1.3,-0.95,0.35,3.85
nickyoung,60,2.28,-1.63,0.65,3.82
larrynancejr.,63,-1.26,2.16,0.9,3.79
tonyallen,71,-2.03,2.15,0.12,3.76
channingfrye,74,1.62,-0.58,1.04,3.7
marreesespeights,82,0.67,0.69,1.36,3.66
wayneellington,62,2.26,-1.6,0.66,3.58
tysonchandler,47,-1.06,2.2,1.14,3.55
thabosefolosha,62,-1.93,2.27,0.34,3.55
kellyolynyk,75,-0.31,0.81,0.5,3.54
darrencollison,68,1.06,-1.47,-0.41,3.44
courtneylee,77,0.58,-1.51,-0.93,3.4
jusufnurkic,65,-2.11,2.73,0.62,3.32
trevorbooker,71,-2.29,2.0,-0.29,3.3
tonysnell,80,-0.02,-0.85,-0.87,3.29
rondaehollis-jefferson,78,-2.16,1.78,-0.38,3.29
devinbooker,78,1.28,-2.58,-1.3,3.29
nemanjabjelica,65,-0.71,1.94,1.23,3.24
rudygay,30,-0.21,1.96,1.75,3.1
jeriangrant,63,0.5,1.07,1.57,3.03
dirknowitzki,54,-0.38,0.64,0.26,3.02
deronwilliams,64,0.69,-0.91,-0.22,2.95
nerlensnoel,51,-1.33,2.58,1.25,2.95
andrewwiggins,82,1.56,-3.16,-1.6,2.94
evanfournier,68,0.07,-1.17,-1.1,2.89
justinholiday,82,-0.58,0.25,-0.33,2.87
t.j.mcconnell,81,-1.32,0.23,-1.09,2.86
kyleanderson,72,-1.81,3.11,1.3,2.84
clintcapela,65,-1.47,1.12,-0.35,2.82
jasonterry,74,-0.41,0.61,0.2,2.81
davidwest,68,-1.47,3.54,2.07,2.81
dionwaiters,46,0.12,-0.07,0.05,2.8
kostakoufos,71,-2.78,2.83,0.05,2.79
jonleuer,75,-1.43,0.58,-0.85,2.78
luoldeng,56,-1.87,1.54,-0.33,2.69
wilsonchandler,71,0.3,-1.54,-1.24,2.69
garretttemple,65,-0.14,-0.46,-0.6,2.67
tylawson,69,0.49,-1.21,-0.72,2.63
aronbaynes,75,-2.45,2.93,0.48,2.63
jabariparker,51,0.83,-1.61,-0.78,2.59
joejohnson,78,0.79,-1.56,-0.77,2.58
devinharris,65,0.38,0.32,0.7,2.58
dwyanewade,60,-0.45,-0.46,-0.91,2.52
lukebabbitt,68,-0.64,1.24,0.6,2.5
jamesennisiii,64,-1.13,1.4,0.27,2.48
joelembiid,31,-0.57,2.27,1.7,2.46
khrismiddleton,29,0.14,1.26,1.4,2.44
imanshumpert,76,-0.98,-0.16,-1.14,2.43
robinlopez,81,-2.07,0.63,-1.44,2.42
kentbazemore,73,-0.69,-0.5,-1.19,2.41
eneskanter,72,0.56,-1.24,-0.68,2.4
willyhernangomez,72,-0.75,0.4,-0.35,2.37
kyleo'quinn,79,-1.28,1.16,-0.12,2.31
dantecunningham,66,-0.37,-0.56,-0.93,2.29
spencerdinwiddie,59,-0.8,0.31,-0.49,2.29
rodneyhood,59,-0.26,-0.51,-0.77,2.23
salahmejri,73,-2.71,3.66,0.95,2.23
jeremylin,36,0.48,-0.03,0.45,2.21
willbarton,60,0.05,-1.2,-1.15,2.2
marcobelinelli,74,0.67,-1.87,-1.2,2.15
brandonjennings,81,0.25,-1.5,-1.25,2.15
mikemuscala,70,-0.02,-0.36,-0.38,2.11
mattbarnes,74,-1.18,-0.09,-1.27,2.07
javalemcgee,77,0.83,0.11,0.94,2.04
rodneymcgruder,78,-0.58,-0.9,-1.48,2.04
richaunholmes,57,-0.32,-0.18,-0.5,2.01
coreybrewer,82,-1.75,1.0,-0.75,1.99
jonathonsimmons,78,-2.03,1.12,-0.91,1.94
anthonytolliver,65,-0.07,-0.97,-1.04,1.93
jamalmurray,82,0.06,-1.57,-1.51,1.86
zachrandolph,73,-0.37,-1.05,-1.42,1.83
juliusrandle,74,-0.79,-1.03,-1.82,1.83
tarikblack,67,-2.5,1.96,-0.54,1.81
jasonsmith,74,-1.08,0.54,-0.54,1.75
alanwilliams,47,-0.94,1.49,0.55,1.75
dariosaric,81,-1.25,-0.62,-1.87,1.74
derrickfavors,50,-2.76,2.06,-0.7,1.73
williecauley-stein,75,-2.07,0.9,-1.17,1.72
d'angelorussell,63,0.75,-2.45,-1.7,1.69
terryrozier,74,-1.05,-0.01,-1.06,1.65
davisbertans,67,0.07,-0.01,0.06,1.64
samdekker,77,0.05,-1.42,-1.37,1.64
jonasjerebko,78,-0.89,-0.14,-1.03,1.63
normanpowell,76,-0.24,-1.01,-1.25,1.63
austinrivers,74,-0.17,-1.73,-1.9,1.62
dwightpowell,77,-0.66,-0.51,-1.17,1.58
joshrichardson,53,-1.63,0.06,-1.57,1.57
matthewdellavedova,76,-0.88,-1.01,-1.89,1.54
carislevert,57,-0.46,-0.84,-1.3,1.53
richardjefferson,79,-1.16,-0.48,-1.64,1.51
rajonrondo,69,-1.35,-0.49,-1.84,1.51
e'twaunmoore,73,-0.24,-1.58,-1.82,1.5
montrezlharrell,58,-0.39,-0.6,-0.99,1.5
meyersleonard,74,-1.5,0.26,-1.24,1.48
langstongalloway,74,0.1,-1.65,-1.55,1.46
ianmahinmi,31,-2.22,3.11,0.89,1.44
tonyparker,63,-0.69,-0.97,-1.66,1.42
tyusjones,60,0.11,-0.34,-0.23,1.4
andrewharrison,72,-1.2,-0.38,-1.58,1.38
jrsmith,41,-0.32,-0.98,-1.3,1.37
tjwarren,66,0.3,-2.44,-2.14,1.34
joakimnoah,46,-2.23,1.17,-1.06,1.32
jeremylamb,62,0.04,-1.32,-1.28,1.31
williereed,71,-2.42,1.25,-1.17,1.28
cristianofelicio,66,-1.55,0.39,-1.16,1.28
kennethfaried,61,-0.07,-1.55,-1.62,1.27
royhibbert,48,-2.48,2.08,-0.4,1.21
andrewbogut,27,-4.01,4.34,0.33,1.2
taureanprince,59,-3.7,2.47,-1.23,1.2
derrickrose,64,0.11,-2.36,-2.25,1.17
mirzateletovic,70,-1.05,-0.44,-1.49,1.16
domantassabonis,81,-3.9,1.86,-2.04,1.14
averybradley,55,-0.44,-1.72,-2.16,1.13
timotheluwawu-cabarrot,69,-2.27,0.57,-1.7,1.11
glennrobinsoniii,69,-1.25,-0.67,-1.92,1.1
dennisschroder,79,0.31,-2.76,-2.45,1.07
johnhenson,58,-3.42,1.79,-1.63,1.05
colealdrich,62,-1.82,1.83,0.01,1.04
wesleyjohnson,68,-3.79,2.62,-1.17,1.01
darrellarthur,41,-0.91,0.2,-0.71,0.99
aljefferson,66,-1.0,-0.45,-1.45,0.98
benoudrih,39,-0.39,0.13,-0.26,0.98
tomassatoransky,57,-2.1,1.08,-1.02,0.93
raymondfelton,80,-1.4,-0.88,-2.28,0.92
dorianfinney-smith,81,-1.92,-0.3,-2.22,0.9
juanhernangomez,62,-0.85,-0.69,-1.54,0.88
coryjoseph,80,-0.5,-1.94,-2.44,0.86
justinhamilton,64,-1.64,-0.42,-2.06,0.84
terrencejones,54,-1.38,-0.72,-2.1,0.84
bobanmarjanovic,35,-0.24,1.66,1.42,0.82
derrickjonesjr.,32,-1.06,0.18,-0.88,0.82
tyrekeevans,40,-1.52,0.02,-1.5,0.81
seankilpatrick,70,-0.07,-2.36,-2.43,0.81
alexlen,77,-3.62,1.28,-2.34,0.81
j.j.barea,35,0.15,-1.57,-1.42,0.8
reggiebullock,31,-0.98,0.57,-0.41,0.79
nikstauskas,80,-0.32,-2.25,-2.57,0.78
michaelcarter-williams,45,-2.82,1.12,-1.7,0.77
delonwright,27,-1.28,0.98,-0.3,0.77
troydaniels,67,-0.02,-2.1,-2.12,0.72
jakobpoeltl,54,-2.36,1.09,-1.27,0.72
mindaugaskuzminskas,68,-0.8,-1.2,-2.0,0.72
brandanwright,28,-0.86,0.4,-0.46,0.71
kellyoubrejr.,79,-1.67,-0.76,-2.43,0.71
jodiemeeks,36,-0.05,-1.6,-1.65,0.7
timfrazier,65,-0.73,-1.67,-2.4,0.7
thonmaker,57,-1.23,0.17,-1.06,0.7
alexabrines,68,0.13,-2.25,-2.12,0.69
allencrabbe,79,0.22,-2.87,-2.65,0.68
omerasik,31,-2.97,1.94,-1.03,0.65
denzelvalentine,57,-2.21,0.13,-2.08,0.64
bismackbiyombo,81,-3.33,0.77,-2.56,0.63
stanleyjohnson,77,-2.34,-0.04,-2.38,0.63
kevonlooney,53,-2.03,1.05,-0.98,0.63
luisscola,36,-0.8,-0.29,-1.09,0.62
alexisajinca,39,-3.17,1.64,-1.53,0.6
jeffwithey,51,-1.5,0.57,-0.93,0.58
krishumphries,56,-2.3,0.41,-1.89,0.54
raulneto,40,-1.43,0.92,-0.51,0.53
shabazznapier,53,-0.12,-1.39,-1.51,0.51
mikedunleavy,53,-2.26,0.05,-2.21,0.49
tylerennis,53,-1.36,-0.51,-1.87,0.49
michaelbeasley,56,-1.7,-0.61,-2.31,0.48
shawnlong,18,-0.31,0.3,-0.01,0.47
davidnwaba,20,-1.89,0.59,-1.3,0.47
anthonymorrow,49,-0.66,-1.46,-2.12,0.46
skallabissiere,33,-1.93,-0.04,-1.97,0.45
bobbyportis,64,-1.94,-0.5,-2.44,0.43
kylekorver,67,-0.15,-2.61,-2.76,0.41
paulpierce,25,-2.04,1.24,-0.8,0.4
