player_name,player_position,player_team,player_salary
lebronjames, SF,Cleveland Cavaliers,30963450
mikeconley, PG,Memphis Grizzlies,26540100
alhorford, C,Boston Celtics,26540100
dirknowitzki, PF,Dallas Mavericks,25000000
carmeloanthony, SF,New York Knicks,24559380
damianlillard, PG,Portland Trail Blazers,24328425
chrisbosh, PF,Miami Heat,23741060
dwyanewade, SG,Chicago Bulls,23200000
dwighthoward, C,Atlanta Hawks,23180275
chrispaul, PG,LA Clippers,22868827
chandlerparsons, SF,Memphis Grizzlies,22116750
bradleybeal, SG,Washington Wizards,22116750
anthonydavis, PF,New Orleans Pelicans,22116750
derrickrose, PG,New York Knicks,21323252
marcgasol, C,Memphis Grizzlies,21165675
brooklopez, C,Brooklyn Nets,21165675
kevinlove, PF,Cleveland Cavaliers,21165675
nicolasbatum, SG,Charlotte Hornets,20869566
lamarcusaldridge, PF,San Antonio Spurs,20575005
blakegriffin, PF,LA Clippers,20140839
paulmillsap, PF,Atlanta Hawks,20072033
ryananderson, PF,Houston Rockets,18735364
allencrabbe, SG,Portland Trail Blazers,18500000
paulgeorge, SF,Indiana Pacers,18314532
luoldeng, SF,Los Angeles Lakers,18000000
kawhileonard, SF,San Antonio Spurs,17638063
kyrieirving, PG,Cleveland Cavaliers,17638063
jimmybutler, SG,Chicago Bulls,17552209
tobiasharris, SF,Detroit Pistons,17200000
eneskanter, C,Oklahoma City Thunder,17145838
gregmonroe, C,Milwaukee Bucks,17145838
wesleymatthews, SG,Dallas Mavericks,17145838
bismackbiyombo, C,Orlando Magic,17000000
evanfournier, SG,Orlando Magic,17000000
joakimnoah, C,New York Knicks,17000000
johnwall, PG,Washington Wizards,16957900
demarcuscousins, C,Sacramento Kings,16957900
klaythompson, SG,Golden State Warriors,16663575
evanturner, SG,Portland Trail Blazers,16393443
gordonhayward, SF,Utah Jazz,16073140
timofeymozgov, C,Los Angeles Lakers,16000000
ianmahinmi, C,Washington Wizards,15944154
gorandragic, PG,Miami Heat,15891725
kentbazemore, SF,Atlanta Hawks,15730338
paugasol, C,San Antonio Spurs,15500000
draymondgreen, PF,Golden State Warriors,15330435
tristanthompson, C,Cleveland Cavaliers,15330435
khrismiddleton, SG,Milwaukee Bucks,15200000
danilogallinari, SF,Denver Nuggets,15050000
jeffgreen, SF,Orlando Magic,15000000
reggiejackson, PG,Detroit Pistons,14956522
tonyparker, PG,San Antonio Spurs,14445313
jonasvalanciunas, C,Toronto Raptors,14382023
demarrecarroll, SF,Toronto Raptors,14200000
thaddeusyoung, PF,Indiana Pacers,14153652
manuginobili, SG,San Antonio Spurs,14000000
ericbledsoe, PG,Phoenix Suns,14000000
rajonrondo, PG,Chicago Bulls,14000000
rickyrubio, PG,Minnesota Timberwolves,13550000
rudygay, SF,Sacramento Kings,13333333
jamalcrawford, SG,LA Clippers,13253012
robinlopez, C,Chicago Bulls,13219250
michaelkiddgilchrist, SF,Charlotte Hornets,13000000
jrsmith, SG,Cleveland Cavaliers,12800000
brandonknight, PG,Phoenix Suns,12606250
johnhenson, PF,Milwaukee Bucks,12517606
jordanclarkson, PG,Los Angeles Lakers,12500000
arronafflalo, SG,Sacramento Kings,12500000
milesplumlee, C,Charlotte Hornets,12500000
tysonchandler, C,Phoenix Suns,12415000
ericgordon, SG,Houston Rockets,12385364
marvinwilliams, PF,Charlotte Hornets,12250000
sergeibaka, PF,Toronto Raptors,12250000
stephencurry, PG,Golden State Warriors,12112359
nikolapekovic, C,Minnesota Timberwolves,12100000
kennethfaried, PF,Denver Nuggets,12078652
marcingortat, C,Washington Wizards,12000000
kembawalker, PG,Charlotte Hornets,12000000
amirjohnson, PF,Boston Celtics,12000000
nikolavucevic, C,Orlando Magic,11750000
jeremylin, PG,Brooklyn Nets,11483254
jrueholiday, PG,New Orleans Pelicans,11286518
courtneylee, SG,New York Knicks,11242000
solomonhill, SF,New Orleans Pelicans,11241218
wilsonchandler, SF,Denver Nuggets,11233146
andreiguodala, SF,Golden State Warriors,11131368
derrickfavors, PF,Utah Jazz,11050000
joejohnson, SF,Utah Jazz,11000000
austinrivers, PG,LA Clippers,11000000
jonleuer, PF,Detroit Pistons,10991957
montaellis, SG,Indiana Pacers,10763500
mirzateletovic, PF,Milwaukee Bucks,10500000
jareddudley, SF,Phoenix Suns,10470000
zachrandolph, PF,Memphis Grizzlies,10361445
aljefferson, C,Indiana Pacers,10314532
tyrekeevans, SG,Sacramento Kings,10203755
alecburks, SG,Utah Jazz,10154495
dannygreen, SG,San Antonio Spurs,10000000
terrenceross, SF,Toronto Raptors,10000000
omerasik, C,New Orleans Pelicans,9904494
imanshumpert, SG,Cleveland Cavaliers,9662922
matthewdellavedova, PG,Milwaukee Bucks,9607500
jerrydbayless, PG,Philadelphia 76ers,9424084
trevorbooker, PF,Brooklyn Nets,9250000
meyersleonard, PF,Portland Trail Blazers,9213483
geraldhenderson, SG,Philadelphia 76ers,9000000
mauriceharkless, SF,Portland Trail Blazers,8988765
tajgibson, PF,Oklahoma City Thunder,8950000
jeffteague, PG,Indiana Pacers,8800000
tiagosplitter, C,Philadelphia 76ers,8550000
ersanilyasova, PF,Oklahoma City Thunder,8400000
dwightpowell, PF,Dallas Mavericks,8375000
averybradley, PG,Boston Celtics,8269663
e'twaunmoore, SG,New Orleans Pelicans,8081363
darrellarthur, PF,Denver Nuggets,8070175
kostakoufos, C,Sacramento Kings,8046500
georgehill, PG,Utah Jazz,8000000
garretttemple, SG,Sacramento Kings,8000000
sergiorodriguez, PG,Philadelphia 76ers,8000000
tylerzeller, C,Boston Celtics,8000000
trevorariza, SF,Houston Rockets,7806971
channingfrye, PF,Cleveland Cavaliers,7806971
alfarouqaminu, SF,Portland Trail Blazers,7680965
colealdrich, C,Minnesota Timberwolves,7643979
coreybrewer, SG,Los Angeles Lakers,7612172
markieffmorris, PF,Washington Wizards,7400000
festusezeli, C,Portland Trail Blazers,7400000
jjredick, SG,LA Clippers,7377500
coryjoseph, PG,Toronto Raptors,7315000
djaugustin, PG,Orlando Magic,7250000
borisdiaw, C,Utah Jazz,7000000
rodneystuckey, PG,Indiana Pacers,7000000
bobanmarjanovic, C,Detroit Pistons,7000000
eddavis, PF,Portland Trail Blazers,6666667
isaiahthomas, PG,Boston Celtics,6587132
victoroladipo, SG,Oklahoma City Thunder,6552961
jodiemeeks, SG,Orlando Magic,6540000
jeremylamb, SG,Charlotte Hornets,6511628
carllandry, PF,Philadelphia 76ers,6500000
aronbaynes, C,Detroit Pistons,6500000
timduncan, C,San Antonio Spurs,6393750
spencerhawes, PF,Charlotte Hornets,6348759
marcobelinelli, SG,Charlotte Hornets,6333333
jaecrowder, SF,Boston Celtics,6286408
lancethomas, SF,New York Knicks,6191000
tarikblack, C,Los Angeles Lakers,6191000
andrewnicholson, PF,Washington Wizards,6088993
patrickpatterson, PF,Toronto Raptors,6050000
andrewwiggins, SG,Minnesota Timberwolves,6006600
ramonsessions, PG,Charlotte Hornets,6000000
wayneellington, SG,Miami Heat,6000000
ishsmith, PG,Detroit Pistons,6000000
alexabrines, SG,Oklahoma City Thunder,5994764
karlanthonytowns, C,Minnesota Timberwolves,5960160
bensimmons, F,Philadelphia 76ers,5903160
ottoporterjr, SF,Washington Wizards,5893981
shaunlivingston, PG,Golden State Warriors,5782450
joshmcroberts, PF,Miami Heat,5782450
nikolamirotic, PF,Chicago Bulls,5782450
brandanwright, PF,Memphis Grizzlies,5709880
tylerjohnson, SG,Miami Heat,5628000
jaredsullinger, C,Toronto Raptors,5628000
wesleyjohnson, SF,LA Clippers,5628000
tonyallen, SG,Memphis Grizzlies,5505618
luisscola, PF,Brooklyn Nets,5500000
nickyoung, SG,Los Angeles Lakers,5443918
jabariparker, PF,Milwaukee Bucks,5374320
d'angelorussell, PG,Los Angeles Lakers,5332800
codyzeller, C,Charlotte Hornets,5318313
pjtucker, SF,Toronto Raptors,5300000
brandoningram, F,Los Angeles Lakers,5281680
kylekorver, SG,Cleveland Cavaliers,5239437
darrencollison, PG,Sacramento Kings,5229454
langstongalloway, SG,Sacramento Kings,5200000
brandonjennings, PG,Washington Wizards,5000000
jasonsmith, PF,Washington Wizards,5000000
jonasjerebko, PF,Boston Celtics,5000000
royhibbert, C,Charlotte Hornets,5000000
kylesingler, SF,Oklahoma City Thunder,4837500
mikedunleavy, SG,Cleveland Cavaliers,4837500
joelembiid, C,Philadelphia 76ers,4826160
alexlen, C,Phoenix Suns,4823621
jahlilokafor, C,Philadelphia 76ers,4788840
jaylenbrown, F,Boston Celtics,4743000
alexisajinca, C,New Orleans Pelicans,4638203
marcusmorris, PF,Detroit Pistons,4625000
cjmiles, SF,Indiana Pacers,4583450
jameernelson, PG,Denver Nuggets,4540525
nerlensnoel, PF,Philadelphia 76ers,4384490
aarongordon, PF,Orlando Magic,4351320
greivisvasquez, PG,Brooklyn Nets,4347826
kristapsporzingis, PF,New York Knicks,4317720
draganbender, PF,Phoenix Suns,4276320
vincecarter, SG,Memphis Grizzlies,4264057
devinharris, PG,Dallas Mavericks,4227996
jjbarea, PG,Dallas Mavericks,4096950
benmclemore, SG,Sacramento Kings,4008882
udonishaslem, PF,Miami Heat,4000000
jamesjohnson, PF,Miami Heat,4000000
leandrobarbosa, SG,Phoenix Suns,4000000
jordanhill, C,Minnesota Timberwolves,4000000
krishumphries, PF,Atlanta Hawks,4000000
danteexum, PG,Utah Jazz,3940320
kyleo'quinn, C,New York Knicks,3918750
mariohezonja, SG,Orlando Magic,3909840
krisdunn, PG,Minnesota Timberwolves,3872520
thabosefolosha, SF,Atlanta Hawks,3850000
nemanjabjelica, PF,Minnesota Timberwolves,3800000
nickcollison, PF,Oklahoma City Thunder,3750000
bojanbogdanovic, SG,Washington Wizards,3730653
kentaviouscaldwellpope, SG,Detroit Pistons,3678319
quincypondexter, SG,New Orleans Pelicans,3617978
pattymills, PG,San Antonio Spurs,3578948
marcussmart, PG,Boston Celtics,3578880
williecauleystein, C,Sacramento Kings,3551160
drewgooden, PF,Washington Wizards,3547000
willbarton, SG,Denver Nuggets,3533333
paulpierce, SF,LA Clippers,3527920
buddyhield, SG,Sacramento Kings,3517200
brandonrush, SG,Minnesota Timberwolves,3500000
mikemiller, SG,Denver Nuggets,3500000
anthonymorrow, SG,Oklahoma City Thunder,3488000
treyburke, PG,Washington Wizards,3386598
mikescott, PF,Atlanta Hawks,3333334
kjmcdaniels, SG,Brooklyn Nets,3333333
troydaniels, SG,Memphis Grizzlies,3332940
juliusrandle, PF,Los Angeles Lakers,3267120
emmanuelmudiay, PG,Denver Nuggets,3241800
cjmccollum, SG,Portland Trail Blazers,3219579
jamalmurray, G,Denver Nuggets,3210840
michaelcarterwilliams, PG,Chicago Bulls,3183526
stevenadams, C,Oklahoma City Thunder,3140517
kellyolynyk, C,Boston Celtics,3094014
shabazzmuhammad, SF,Minnesota Timberwolves,3046299
justinhamilton, C,Brooklyn Nets,3000000
tiborpleiss, C,Philadelphia 76ers,3000000
giannisantetokounmpo, SF,Milwaukee Bucks,2995421
nikstauskas, SG,Philadelphia 76ers,2993040
dantecunningham, PF,New Orleans Pelicans,2978250
stanleyjohnson, SF,Detroit Pistons,2969880
marquesechriss, F,Phoenix Suns,2941440
dionwaiters, SG,Miami Heat,2898000
jamesennisiii, SF,Memphis Grizzlies,2898000
nenehilario, C,Houston Rockets,2898000
