player_name,favorite_count,retweet_count
timhardaway,0,0
terrenceross,0,0
joeharris,0,0
reggiewilliams,0,0
jarroduthoff,0,0
miketobey,1,0
nikolajokic,0,1
timquarterman,0,1
arinzeonuaku,0,1
marcingortat,1,1
malcolmdelaney,1,1
justinharper,1,1
courtneylee,2,1
garretttemple,2,1
tjmcconnell,2,1
mikescott,2,1
sashavujacic,3,1
johnjenkins,3,1
bobbybrown,4,1
dwighthoward,7,1
jjredick,9,1
cjmiles,11,1
thaddeusyoung,0,1.5
brandonrush,14,1.5
deandreliggins,2,2
anthonytolliver,11,2
jaredsullinger,11,2
langstongalloway,14.5,2
garyharris,6,2.5
joshhuestis,24.5,2.5
dantecunningham,0,3
davidnwaba,0,3
semajchriston,0,3
jordanmickey,0,3
willbarton,1,3
aaronbrooks,1,3
cjwatson,1,3
alananderson,1,3
mannyharris,2,3
anthonybrown,3,3
cjwilcox,3,3
shelvinmack,6,3
georgiospapagiannis,7,3
jeramigrant,9,3
donatasmotiejunas,9,3
milesplumlee,11,3
rakeemchristmas,13,3
andersonvarejao,20,3
georgehill,33.5,3
tobiasharris,2,4
randyfoye,2,4
jarellmartin,2,4
quincyacy,4,4
lamarpatterson,4,4
channingfrye,8,4
archiegoodwin,8,4
montrezlharrell,11,4
spencerhawes,12,4
richaunholmes,25,4
jareddudley,31,4
andrewbogut,57,4
joeingles,86.5,4
michaelcarterwilliams,0,5
anthonymorrow,0,5
jordancrawford,1,5
jerrydbayless,2,5
marcusgeorgeshunt,3,5
patriciogarino,3,5
andrewnicholson,5,5
henryellenson,6.5,5
michaelbeasley,8,5
ianmahinmi,10,5
jeffwithey,16,5
brandanwright,0,6
terryrozier,2,6
jasonterry,2,6
tylerjohnson,3,6
kylesingler,9,6
alexlen,10.5,6
tylerennis,11,6
marcusthornton,14,6
thomasrobinson,15,6
danilogallinari,29,6
amirjohnson,31.5,6
raymondfelton,9,6.5
derrickfavors,25,6.5
dionwaiters,0,7
vincecarter,0,7
spencerdinwiddie,0,7
kyleo'quinn,0,7
alanwilliams,1,7
rashadvaughn,2,7
darrencollison,4,7
gregmonroe,9,7
jarrettjack,11.5,7
edytavares,12.5,7
jamesjohnson,13,7
chassonrandle,13.5,7
kjmcdaniels,17,7
omricasspi,24,7
mattbarnes,50,7
jordanmcrae,25.5,7.5
geraldhenderson,1,8
kevinseraphin,4.5,8
andreroberson,10,8
brunocaboclo,11,8
kennethfaried,14,8
trevorbooker,16.5,8
elfridpayton,19,8
isaiahcanaan,24.5,8
demarrecarroll,29.5,8
kostakoufos,37,8
patrickpatterson,53.5,8
justinhamilton,0,8.5
benoudrih,5,8.5
tomassatoransky,7,8.5
greivisvasquez,10,8.5
jameernelson,0,9
marcussmart,1,9
troywilliams,5,9
tyrekeevans,6,9
jarnellstokes,7,9
tiagosplitter,8,9
taureanwallerprince,8.5,9
allencrabbe,11.5,9
khrismiddleton,16,9
colealdrich,22,9
louwilliams,26.5,9
tysonchandler,29,9
alfarouqaminu,33,9
yogiferrell,37.5,9
krishumphries,67,9
reggiejackson,37,9.5
e'twaunmoore,0,10
dwightpowell,0,10
justinanderson,5,10
kentaviouscaldwellpope,9,10
ryankelly,17,10
evanfournier,21,10
troydaniels,30,10
joshrichardson,42,10
anthonybennett,9,10.5
tonyallen,10.5,11
nikstauskas,28,11
michaelkiddgilchrist,29,11
kyleanderson,22,11.5
jamesyoung,0,12
nickcollison,10,12
wayneellington,18,12
noahvonleh,23.5,12
treylyles,48,12
marreesespeights,80,12
adreianpayne,0,13
evanturner,17,13
reggiebullock,20,13
borisdiaw,136.5,13
samdekker,139,13
kylewiltjer,4,13.5
jeffteague,17.5,13.5
luoldeng,22,13.5
malikbeasley,0,14
tyusjones,0,14
delonwright,11.5,14
tylerzeller,15,14
brianteweber,29.5,14
treyburke,41,14
nickyoung,45.5,14
mauriceharkless,0,14.5
mikemiller,50,14.5
marcobelinelli,0,15
dannygreen,0,15
trevorariza,10,15
alecburks,10,15
jodiemeeks,36.5,15
robertcovington,38,15
coryjoseph,48.5,15
coreybrewer,51.5,15.5
aarongordon,42.5,16
kellyolynyk,56.5,16
chandlerparsons,59,16
nenehilario,22,16.5
williecauleystein,0,17
andrewharrison,0,17
jonasjerebko,7,17
lancestephenson,26,17
benmclemore,30,17
tajgibson,52,17
jjbarea,0,17.5
fredvanvleet,0,17.5
thabosefolosha,28.5,17.5
garypayton,0,18
markieffmorris,9,18
juanhernangomez,21,18
larrysanders,24.5,18
udonishaslem,28.5,18
normanpowell,49,18
kevonlooney,0,18.5
wilsonchandler,31.5,18.5
terrencejones,42,18.5
zachrandolph,47,18.5
stanleyjohnson,0,19
deronwilliams,36,19
pattymills,112,19
dennisschroder,51.5,20
cameronpayne,38.5,21
emmanuelmudiay,69,21
marquesechriss,0,22
jasonsmith,0,23
marcusmorris,6,23
austinrivers,75.5,23
denzelvalentine,23,24
andredrummond,0,25
davidwest,0,25
ianclark,33.5,25
ericgordon,55,26
glennrobinson,79,26
tjwarren,55.5,27
tylawson,75.5,27
deandrejordan,189.5,27
carislevert,0,28
danteexum,48.5,28
victoroladipo,78,28
jeffgreen,57.5,28.5
harrisonbarnes,88.5,28.5
codyzeller,90,29
frankkaminsky,112.5,29
jimmybutler,89.5,30
matthewdellavedova,175,30
ericbledsoe,9,30.5
kylekorver,107.5,30.5
mylesturner,53,31
meyersleonard,149,31
javalemcgee,0,32
jamalcrawford,49,32
paulmillsap,60,32
jeriangrant,25,32.5
kembawalker,59.5,32.5
cjmccollum,126,33
justisewinslow,88.5,33.5
zazapachulia,141.5,34
sethcurry,30.5,35
davidlee,56.5,35
nikolavucevic,5.5,35.5
wadebaldwin,0,36.5
jrueholiday,0,39
thonmaker,0,39.5
jonathonsimmons,58,40
jonasvalanciunas,65,40
bradleybeal,55.5,40.5
jrsmith,0,43
ivicazubac,5,43
damianlillard,186.5,43
andreiguodala,300.5,43
jusufnurkic,45,43.5
gorandragic,62.5,45
clintcapela,120,45.5
jaecrowder,55,47
krisdunn,165,47
nikolamirotic,119,50.5
gordonhayward,319,50.5
patrickbeverley,214.5,51
andrewwiggins,182,54.5
willyhernangomez,0,55.5
juliusrandle,102,59
luisscola,16,60
sergiorodriguez,303,60
jamalmurray,0,62.5
lamarcusaldridge,195,63
nerlensnoel,105,64
nicolasbatum,114.5,66
manuginobili,299,66
zachlavine,178.5,67
alhorford,136,71
shabazznapier,159,72
bobbyportis,37,73
derrickjones,0,74
rajonrondo,185.5,74
marcgasol,0,75.5
rickyrubio,262.5,76
johnwall,0,77
domantassabonis,0,82
joakimnoah,0,87
mikeconley,257.5,90
demarcuscousins,102,91.5
blakegriffin,269,98.5
stevenadams,36,99
dahntayjones,0,99.5
jaylenbrown,0,100
brandoningram,194,100
anthonydavis,368,104
karlanthonytowns,0,105
kellyoubre,64.5,114.5
jabariparker,267,125
paulgeorge,228.5,128
paulpierce,346.5,142
paugasol,882.5,148.5
dwyanewade,349.5,149.5
hassanwhiteside,194,155
isaiahthomas,467.5,155.5
kylelowry,561,162
draymondgreen,627,168.5
chrispaul,829,178.5
jordanclarkson,55.5,179.5
demarderozan,0,186
kevinlove,866.5,194.5
eneskanter,147,195
jeremylin,936.5,197.5
mariohezonja,272,207
tristanthompson,368,211
kristapsporzingis,485,214
carmeloanthony,720.5,220
klaythompson,797,225
rudygobert,731,225.5
d'angelorussell,0,232
jamesharden,969,321.5
buddyhield,512,333
devinbooker,1170.5,335.5
kevindurant,1425.5,366
dirknowitzki,1564,500.5
russellwestbrook,2130.5,559
kyrieirving,1541,695
kawhileonard,2701.5,716.5
lebronjames,5533.5,1501.5
derrickrose,1864,2504.5
stephencurry,12278,2893
joelembiid,6852.5,2941
