,Rk,PLAYER,POSITION,TEAM,POINTS,TRB,AST,STL,BLK,FG%,3P%,FT%,FGA,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TOV,PF,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
0,1,Russell Westbrook,PG,OKC,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,24,2.5,7.2,7.7,16.8,0.459,0.476,8.8,10.4,1.7,9,5.4,2.3,81,34.6,6.74,-0.47,6.27,17.34,23,102.31,46
1,2,James Harden,PG,HOU,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,18.9,3.2,9.3,5.1,9.6,0.53,0.525,9.2,10.9,1.2,7,5.7,2.7,81,36.4,6.38,-1.57,4.81,15.54,19,102.98,54
2,3,Isaiah Thomas,PG,BOS,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,19.4,3.2,8.5,5.8,10.9,0.528,0.546,7.8,8.5,0.6,2.1,2.8,2.2,76,33.8,5.72,-3.89,1.83,8.19,16.1,99.84,51
3,4,Anthony Davis,C,NO,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,20.3,0.5,1.8,9.7,18.6,0.524,0.518,6.9,8.6,2.3,9.5,2.4,2.2,75,36.1,0.45,3.9,4.35,12.81,19.2,100.19,31
4,5,DeMar DeRozan,SG,TOR,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,20.9,0.4,1.7,9.3,19.2,0.484,0.477,7.4,8.7,0.9,4.3,2.4,1.8,74,35.4,2.21,-2.04,0.17,5.46,15.5,97.69,47
5,6,DeMarcus Cousins,C,NO/SAC,27,11,4.6,1.4,1.3,0.452,0.361,0.772,19.9,1.8,5,7.2,14.8,0.483,0.498,7.2,9.3,2.1,8.9,3.7,3.9,72,34.2,3.56,0.64,4.2,11.26,17.8,97.11,30
6,7,Damian Lillard,PG,POR,27,4.9,5.9,0.9,0.3,0.444,0.37,0.895,19.8,2.9,7.7,6,12.1,0.492,0.516,6.5,7.3,0.6,4.3,2.6,2,75,35.9,4.63,-1.49,3.14,10.72,15.9,99.68,38
7,8,LeBron James,SF,CLE,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,18.2,1.7,4.6,8.3,13.5,0.611,0.594,4.8,7.2,1.3,7.3,4.1,1.8,74,37.8,6.49,1.93,8.42,20.43,18.3,98.38,51
8,9,Kawhi Leonard,SF,SA,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,17.7,2,5.2,6.6,12.5,0.529,0.541,6.3,7.2,1.1,4.7,2.1,1.6,74,33.4,5.83,1.25,7.08,15.53,17.4,95.79,54
9,10,Stephen Curry,PG,GS,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,18.3,4.1,10,4.4,8.3,0.537,0.58,4.1,4.6,0.8,3.7,3,2.3,79,33.4,7.27,0.14,7.41,18.8,15.1,105.08,65
