NAME,POSITION,TEAM,SALARY
LeBron James, SF,Cleveland Cavaliers,30963450
Mike Conley, PG,Memphis Grizzlies,26540100
Al Horford, C,Boston Celtics,26540100
Dirk Nowitzki, PF,Dallas Mavericks,25000000
Carmelo Anthony, SF,New York Knicks,24559380
Damian Lillard, PG,Portland Trail Blazers,24328425
Chris Bosh, PF,Miami Heat,23741060
Dwyane Wade, SG,Chicago Bulls,23200000
Dwight Howard, C,Atlanta Hawks,23180275
Chris Paul, PG,LA Clippers,22868827
Chandler Parsons, SF,Memphis Grizzlies,22116750
Bradley Beal, SG,Washington Wizards,22116750
Anthony Davis, PF,New Orleans Pelicans,22116750
Derrick Rose, PG,New York Knicks,21323252
Marc Gasol, C,Memphis Grizzlies,21165675
Brook Lopez, C,Brooklyn Nets,21165675
Kevin Love, PF,Cleveland Cavaliers,21165675
Nicolas Batum, SG,Charlotte Hornets,20869566
LaMarcus Aldridge, PF,San Antonio Spurs,20575005
Blake Griffin, PF,LA Clippers,20140839
Paul Millsap, PF,Atlanta Hawks,20072033
Ryan Anderson, PF,Houston Rockets,18735364
Allen Crabbe, SG,Portland Trail Blazers,18500000
Paul George, SF,Indiana Pacers,18314532
Luol Deng, SF,Los Angeles Lakers,18000000
Kawhi Leonard, SF,San Antonio Spurs,17638063
Kyrie Irving, PG,Cleveland Cavaliers,17638063
Jimmy Butler, SG,Chicago Bulls,17552209
Tobias Harris, SF,Detroit Pistons,17200000
Enes Kanter, C,Oklahoma City Thunder,17145838
Greg Monroe, C,Milwaukee Bucks,17145838
Wesley Matthews, SG,Dallas Mavericks,17145838
Bismack Biyombo, C,Orlando Magic,17000000
Evan Fournier, SG,Orlando Magic,17000000
Joakim Noah, C,New York Knicks,17000000
John Wall, PG,Washington Wizards,16957900
DeMarcus Cousins, C,Sacramento Kings,16957900
Klay Thompson, SG,Golden State Warriors,16663575
Evan Turner, SG,Portland Trail Blazers,16393443
Gordon Hayward, SF,Utah Jazz,16073140
Timofey Mozgov, C,Los Angeles Lakers,16000000
Ian Mahinmi, C,Washington Wizards,15944154
Goran Dragic, PG,Miami Heat,15891725
Kent Bazemore, SF,Atlanta Hawks,15730338
Pau Gasol, C,San Antonio Spurs,15500000
Draymond Green, PF,Golden State Warriors,15330435
Tristan Thompson, C,Cleveland Cavaliers,15330435
Khris Middleton, SG,Milwaukee Bucks,15200000
Danilo Gallinari, SF,Denver Nuggets,15050000
Jeff Green, SF,Orlando Magic,15000000
Reggie Jackson, PG,Detroit Pistons,14956522
Tony Parker, PG,San Antonio Spurs,14445313
Jonas Valanciunas, C,Toronto Raptors,14382023
DeMarre Carroll, SF,Toronto Raptors,14200000
Thaddeus Young, PF,Indiana Pacers,14153652
Manu Ginobili, SG,San Antonio Spurs,14000000
Eric Bledsoe, PG,Phoenix Suns,14000000
Rajon Rondo, PG,Chicago Bulls,14000000
Ricky Rubio, PG,Minnesota Timberwolves,13550000
Rudy Gay, SF,Sacramento Kings,13333333
Jamal Crawford, SG,LA Clippers,13253012
Robin Lopez, C,Chicago Bulls,13219250
Michael Kidd-Gilchrist, SF,Charlotte Hornets,13000000
JR Smith, SG,Cleveland Cavaliers,12800000
Brandon Knight, PG,Phoenix Suns,12606250
John Henson, PF,Milwaukee Bucks,12517606
Jordan Clarkson, PG,Los Angeles Lakers,12500000
Arron Afflalo, SG,Sacramento Kings,12500000
Miles Plumlee, C,Charlotte Hornets,12500000
Tyson Chandler, C,Phoenix Suns,12415000
Eric Gordon, SG,Houston Rockets,12385364
Marvin Williams, PF,Charlotte Hornets,12250000
Serge Ibaka, PF,Toronto Raptors,12250000
Stephen Curry, PG,Golden State Warriors,12112359
Nikola Pekovic, C,Minnesota Timberwolves,12100000
Kenneth Faried, PF,Denver Nuggets,12078652
Marcin Gortat, C,Washington Wizards,12000000
Kemba Walker, PG,Charlotte Hornets,12000000
Amir Johnson, PF,Boston Celtics,12000000
Nikola Vucevic, C,Orlando Magic,11750000
Jeremy Lin, PG,Brooklyn Nets,11483254
Jrue Holiday, PG,New Orleans Pelicans,11286518
Courtney Lee, SG,New York Knicks,11242000
Solomon Hill, SF,New Orleans Pelicans,11241218
Wilson Chandler, SF,Denver Nuggets,11233146
Andre Iguodala, SF,Golden State Warriors,11131368
Derrick Favors, PF,Utah Jazz,11050000
Joe Johnson, SF,Utah Jazz,11000000
Austin Rivers, PG,LA Clippers,11000000
Jon Leuer, PF,Detroit Pistons,10991957
Monta Ellis, SG,Indiana Pacers,10763500
Mirza Teletovic, PF,Milwaukee Bucks,10500000
Jared Dudley, SF,Phoenix Suns,10470000
Zach Randolph, PF,Memphis Grizzlies,10361445
Al Jefferson, C,Indiana Pacers,10314532
Tyreke Evans, SG,Sacramento Kings,10203755
Alec Burks, SG,Utah Jazz,10154495
Danny Green, SG,San Antonio Spurs,10000000
Terrence Ross, SF,Toronto Raptors,10000000
Omer Asik, C,New Orleans Pelicans,9904494
Iman Shumpert, SG,Cleveland Cavaliers,9662922
Matthew Dellavedova, PG,Milwaukee Bucks,9607500
Jerryd Bayless, PG,Philadelphia 76ers,9424084
Trevor Booker, PF,Brooklyn Nets,9250000
Meyers Leonard, PF,Portland Trail Blazers,9213483
Gerald Henderson, SG,Philadelphia 76ers,9000000
Maurice Harkless, SF,Portland Trail Blazers,8988765
Taj Gibson, PF,Oklahoma City Thunder,8950000
Jeff Teague, PG,Indiana Pacers,8800000
Tiago Splitter, C,Philadelphia 76ers,8550000
Ersan Ilyasova, PF,Oklahoma City Thunder,8400000
Dwight Powell, PF,Dallas Mavericks,8375000
Avery Bradley, PG,Boston Celtics,8269663
E'Twaun Moore, SG,New Orleans Pelicans,8081363
Darrell Arthur, PF,Denver Nuggets,8070175
Kosta Koufos, C,Sacramento Kings,8046500
George Hill, PG,Utah Jazz,8000000
Garrett Temple, SG,Sacramento Kings,8000000
Sergio Rodriguez, PG,Philadelphia 76ers,8000000
Tyler Zeller, C,Boston Celtics,8000000
Trevor Ariza, SF,Houston Rockets,7806971
Channing Frye, PF,Cleveland Cavaliers,7806971
Al-Farouq Aminu, SF,Portland Trail Blazers,7680965
Cole Aldrich, C,Minnesota Timberwolves,7643979
Corey Brewer, SG,Los Angeles Lakers,7612172
Markieff Morris, PF,Washington Wizards,7400000
Festus Ezeli, C,Portland Trail Blazers,7400000
JJ Redick, SG,LA Clippers,7377500
Cory Joseph, PG,Toronto Raptors,7315000
D.J. Augustin, PG,Orlando Magic,7250000
Boris Diaw, C,Utah Jazz,7000000
Rodney Stuckey, PG,Indiana Pacers,7000000
Boban Marjanovic, C,Detroit Pistons,7000000
Ed Davis, PF,Portland Trail Blazers,6666667
Isaiah Thomas, PG,Boston Celtics,6587132
Victor Oladipo, SG,Oklahoma City Thunder,6552961
Jodie Meeks, SG,Orlando Magic,6540000
Jeremy Lamb, SG,Charlotte Hornets,6511628
Carl Landry, PF,Philadelphia 76ers,6500000
Aron Baynes, C,Detroit Pistons,6500000
Tim Duncan, C,San Antonio Spurs,6393750
Spencer Hawes, PF,Charlotte Hornets,6348759
Marco Belinelli, SG,Charlotte Hornets,6333333
Jae Crowder, SF,Boston Celtics,6286408
Lance Thomas, SF,New York Knicks,6191000
Tarik Black, C,Los Angeles Lakers,6191000
Andrew Nicholson, PF,Washington Wizards,6088993
Patrick Patterson, PF,Toronto Raptors,6050000
Andrew Wiggins, SG,Minnesota Timberwolves,6006600
Ramon Sessions, PG,Charlotte Hornets,6000000
Wayne Ellington, SG,Miami Heat,6000000
Ish Smith, PG,Detroit Pistons,6000000
Alex Abrines, SG,Oklahoma City Thunder,5994764
Karl-Anthony Towns, C,Minnesota Timberwolves,5960160
Ben Simmons, F,Philadelphia 76ers,5903160
Otto Porter Jr., SF,Washington Wizards,5893981
Shaun Livingston, PG,Golden State Warriors,5782450
Josh McRoberts, PF,Miami Heat,5782450
Nikola Mirotic, PF,Chicago Bulls,5782450
Brandan Wright, PF,Memphis Grizzlies,5709880
Tyler Johnson, SG,Miami Heat,5628000
Jared Sullinger, C,Toronto Raptors,5628000
Wesley Johnson, SF,LA Clippers,5628000
Tony Allen, SG,Memphis Grizzlies,5505618
Luis Scola, PF,Brooklyn Nets,5500000
Nick Young, SG,Los Angeles Lakers,5443918
Jabari Parker, PF,Milwaukee Bucks,5374320
D'Angelo Russell, PG,Los Angeles Lakers,5332800
Cody Zeller, C,Charlotte Hornets,5318313
PJ Tucker, SF,Toronto Raptors,5300000
Brandon Ingram, F,Los Angeles Lakers,5281680
Kyle Korver, SG,Cleveland Cavaliers,5239437
Darren Collison, PG,Sacramento Kings,5229454
Langston Galloway, SG,Sacramento Kings,5200000
Brandon Jennings, PG,Washington Wizards,5000000
Jason Smith, PF,Washington Wizards,5000000
Jonas Jerebko, PF,Boston Celtics,5000000
Roy Hibbert, C,Charlotte Hornets,5000000
Kyle Singler, SF,Oklahoma City Thunder,4837500
Mike Dunleavy, SG,Cleveland Cavaliers,4837500
Joel Embiid, C,Philadelphia 76ers,4826160
Alex Len, C,Phoenix Suns,4823621
Jahlil Okafor, C,Philadelphia 76ers,4788840
Jaylen Brown, F,Boston Celtics,4743000
Alexis Ajinca, C,New Orleans Pelicans,4638203
Marcus Morris, PF,Detroit Pistons,4625000
CJ Miles, SF,Indiana Pacers,4583450
Jameer Nelson, PG,Denver Nuggets,4540525
Nerlens Noel, PF,Philadelphia 76ers,4384490
Aaron Gordon, PF,Orlando Magic,4351320
Greivis Vasquez, PG,Brooklyn Nets,4347826
Kristaps Porzingis, PF,New York Knicks,4317720
Dragan Bender, PF,Phoenix Suns,4276320
Vince Carter, SG,Memphis Grizzlies,4264057
Devin Harris, PG,Dallas Mavericks,4227996
J.J. Barea, PG,Dallas Mavericks,4096950
Ben McLemore, SG,Sacramento Kings,4008882
Udonis Haslem, PF,Miami Heat,4000000
James Johnson, PF,Miami Heat,4000000
Leandro Barbosa, SG,Phoenix Suns,4000000
Jordan Hill, C,Minnesota Timberwolves,4000000
Kris Humphries, PF,Atlanta Hawks,4000000
Dante Exum, PG,Utah Jazz,3940320
Kyle O'Quinn, C,New York Knicks,3918750
Mario Hezonja, SG,Orlando Magic,3909840
Kris Dunn, PG,Minnesota Timberwolves,3872520
Thabo Sefolosha, SF,Atlanta Hawks,3850000
Nemanja Bjelica, PF,Minnesota Timberwolves,3800000
Nick Collison, PF,Oklahoma City Thunder,3750000
Bojan Bogdanovic, SG,Washington Wizards,3730653
Kentavious Caldwell-Pope, SG,Detroit Pistons,3678319
Quincy Pondexter, SG,New Orleans Pelicans,3617978
Patty Mills, PG,San Antonio Spurs,3578948
Marcus Smart, PG,Boston Celtics,3578880
Willie Cauley-Stein, C,Sacramento Kings,3551160
Drew Gooden, PF,Washington Wizards,3547000
Will Barton, SG,Denver Nuggets,3533333
Paul Pierce, SF,LA Clippers,3527920
Buddy Hield, SG,Sacramento Kings,3517200
Brandon Rush, SG,Minnesota Timberwolves,3500000
Mike Miller, SG,Denver Nuggets,3500000
Anthony Morrow, SG,Oklahoma City Thunder,3488000
Trey Burke, PG,Washington Wizards,3386598
Mike Scott, PF,Atlanta Hawks,3333334
KJ McDaniels, SG,Brooklyn Nets,3333333
Troy Daniels, SG,Memphis Grizzlies,3332940
Julius Randle, PF,Los Angeles Lakers,3267120
Emmanuel Mudiay, PG,Denver Nuggets,3241800
